"date","open","high","low","close"
"2022-07-26","136.68","136.97","136.28","136.94"
"2022-07-25","136.27","136.79","135.91","136.67"
"2022-07-22","137.35","137.96","135.59","136.10"
"2022-07-21","138.23","138.87","137.30","137.35"
"2022-07-20","138.20","138.37","137.91","138.27"
"2022-07-19","138.14","138.39","137.38","138.20"
"2022-07-18","138.53","138.62","137.90","138.14"
"2022-07-15","138.94","139.12","138.41","138.53"
"2022-07-14","137.43","139.39","137.31","138.94"
"2022-07-13","136.87","137.87","136.70","137.43"
"2022-07-12","137.44","137.53","136.49","136.87"
"2022-07-11","136.12","137.75","135.93","137.43"
"2022-07-08","136.00","136.56","135.35","136.09"
"2022-07-07","135.93","136.22","135.56","135.99"
"2022-07-06","135.88","135.99","134.96","135.93"
"2022-07-05","135.68","136.35","135.49","135.86"
"2022-07-04","135.22","135.76","134.79","135.70"
"2022-07-01","135.69","135.98","134.75","135.22"
"2022-06-30","136.59","136.81","135.54","135.69"
"2022-06-29","136.14","136.99","135.82","136.57"
"2022-06-28","135.44","136.38","135.12","136.15"
"2022-06-27","135.21","135.54","134.53","135.47"
"2022-06-24","134.95","135.40","134.36","135.21"
"2022-06-23","136.25","136.25","134.27","134.96"
"2022-06-22","136.61","136.72","135.68","136.24"
"2022-06-21","135.09","136.70","134.95","136.62"
"2022-06-20","134.97","135.42","134.55","135.09"
"2022-06-17","132.20","135.40","132.17","134.96"
"2022-06-16","133.83","134.68","131.49","132.17"
"2022-06-15","135.47","135.59","133.50","133.83"
"2022-06-14","134.41","135.47","133.88","135.47"
"2022-06-13","134.40","135.19","133.60","134.42"
"2022-06-10","134.36","134.49","133.38","134.41"
"2022-06-09","134.26","134.55","133.19","134.37"
"2022-06-08","132.59","134.47","132.56","134.26"
"2022-06-07","131.88","133.00","131.87","132.60"
"2022-06-06","130.88","132.01","130.44","131.89"
"2022-06-03","129.87","130.98","129.70","130.83"
"2022-06-02","130.15","130.25","129.51","129.88"
"2022-06-01","128.68","130.19","128.65","130.15"
"2022-05-31","127.58","128.89","127.53","128.68"
"2022-05-30","127.13","127.83","126.87","127.56"
"2022-05-27","127.16","127.25","126.67","127.11"
"2022-05-26","127.28","127.58","126.56","127.09"
"2022-05-25","126.83","127.50","126.67","127.27"
"2022-05-24","127.90","128.07","126.36","126.83"
"2022-05-23","127.94","128.06","127.16","127.90"
"2022-05-20","127.81","128.29","127.53","127.88"
"2022-05-19","128.23","128.94","127.03","127.82"
"2022-05-18","129.39","129.54","128.02","128.23"
"2022-05-17","129.17","129.77","128.84","129.35"
"2022-05-16","129.26","129.64","128.71","129.14"
"2022-05-13","128.32","129.45","128.28","129.22"
"2022-05-12","129.98","130.06","127.53","128.31"
"2022-05-11","130.45","130.81","129.49","129.98"
"2022-05-10","130.29","130.57","129.81","130.45"
"2022-05-09","130.50","131.34","130.12","130.30"
"2022-05-06","130.18","130.80","130.10","130.54"
"2022-05-05","129.09","130.56","128.76","130.16"
"2022-05-04","130.12","130.37","128.63","129.09"
"2022-05-03","130.15","130.29","129.72","130.14"
"2022-05-02","129.59","130.48","129.59","130.18"
"2022-04-29","130.85","130.96","129.32","129.85"
"2022-04-28","128.43","131.24","128.34","130.82"
"2022-04-27","127.22","128.59","127.00","128.42"
"2022-04-26","128.14","128.24","127.03","127.22"
"2022-04-25","128.61","128.85","127.53","128.14"
"2022-04-22","128.37","129.12","127.78","128.55"
"2022-04-21","127.87","128.71","127.81","128.39"
"2022-04-20","128.90","129.40","127.45","127.89"
"2022-04-19","126.99","128.97","126.97","128.89"
"2022-04-18","126.45","127.00","126.26","126.99"
"2022-04-15","125.88","126.67","125.86","126.45"
"2022-04-14","125.62","125.99","125.09","125.88"
"2022-04-13","125.39","126.28","125.34","125.66"
"2022-04-12","125.38","125.74","124.93","125.39"
"2022-04-11","124.30","125.76","124.08","125.39"
"2022-04-08","123.95","124.68","123.67","124.30"
"2022-04-07","123.80","124.00","123.47","123.97"
"2022-04-06","123.60","124.05","123.51","123.79"
"2022-04-05","122.80","123.67","122.41","123.60"
"2022-04-04","122.62","122.95","122.28","122.78"
"2022-04-01","121.70","123.03","121.66","122.53"
"2022-03-31","121.83","122.45","121.28","121.70"
"2022-03-30","122.88","123.20","121.33","121.83"
"2022-03-29","123.89","124.31","121.98","122.89"
"2022-03-28","122.01","125.04","121.98","123.91"
"2022-03-25","122.35","122.42","121.21","122.05"
"2022-03-24","121.15","122.41","120.97","122.37"
"2022-03-23","120.80","121.39","120.61","121.15"
"2022-03-22","119.47","121.03","119.44","120.80"
"2022-03-21","119.22","119.50","119.09","119.47"
"2022-03-18","118.59","119.41","118.47","119.14"
"2022-03-17","118.74","119.03","118.37","118.59"
"2022-03-16","118.30","119.12","118.18","118.75"
"2022-03-15","118.19","118.45","117.74","118.30"
"2022-03-14","117.38","118.22","117.31","118.19"
"2022-03-11","116.14","117.34","116.11","117.33"
"2022-03-10","115.80","116.19","115.80","116.13"
"2022-03-09","115.67","115.94","115.58","115.85"
"2022-03-08","115.32","115.79","115.27","115.66"
"2022-03-07","114.91","115.47","114.83","115.33"
"2022-03-04","115.47","115.54","114.64","114.83"
"2022-03-03","115.52","115.81","115.39","115.47"
"2022-03-02","114.91","115.68","114.78","115.52"
"2022-03-01","114.99","115.28","114.70","114.92"
"2022-02-28","115.17","115.78","114.87","114.97"
"2022-02-25","115.53","115.76","115.15","115.51"
"2022-02-24","115.00","115.70","114.41","115.54"
"2022-02-23","115.08","115.20","114.92","115.02"
"2022-02-22","114.74","115.24","114.50","115.07"
"2022-02-21","114.94","115.13","114.72","114.74"
"2022-02-18","114.93","115.30","114.79","115.03"
"2022-02-17","115.48","115.54","114.85","114.93"
"2022-02-16","115.59","115.79","115.36","115.45"
"2022-02-15","115.55","115.86","115.26","115.59"
"2022-02-14","115.42","115.75","115.01","115.54"
"2022-02-11","116.03","116.17","115.03","115.45"
"2022-02-10","115.50","116.34","115.45","116.00"
"2022-02-09","115.55","115.67","115.32","115.54"
"2022-02-08","115.13","115.63","115.06","115.54"
"2022-02-07","115.29","115.38","114.92","115.09"
"2022-02-04","114.98","115.42","114.78","115.20"
"2022-02-03","114.46","114.99","114.33","114.99"
"2022-02-02","114.70","114.81","114.17","114.47"
"2022-02-01","115.13","115.19","114.57","114.69"
"2022-01-31","115.28","115.59","114.92","115.15"
"2022-01-28","115.37","115.69","115.12","115.22"
"2022-01-27","114.67","115.49","114.47","115.37"
"2022-01-26","113.87","114.70","113.78","114.67"
"2022-01-25","113.97","114.16","113.67","113.91"
"2022-01-24","113.67","114.00","113.48","113.98"
"2022-01-21","114.09","114.16","113.61","113.68"
"2022-01-20","114.33","114.55","113.97","114.08"
"2022-01-19","114.61","114.78","114.21","114.33"
"2022-01-18","114.63","115.06","114.45","114.58"
"2022-01-17","114.15","114.65","114.14","114.62"
"2022-01-14","114.18","114.27","113.49","114.19"
"2022-01-13","114.63","114.70","114.00","114.17"
"2022-01-12","115.29","115.47","114.38","114.64"
"2022-01-11","115.20","115.68","115.13","115.30"
"2022-01-10","115.62","115.85","115.05","115.19"
"2022-01-07","115.83","116.05","115.52","115.53"
"2022-01-06","116.11","116.19","115.63","115.84"
"2022-01-05","116.15","116.25","115.62","116.11"
"2022-01-04","115.32","116.34","115.28","116.13"
"2022-01-03","115.09","115.37","114.97","115.32"
"2021-12-31","115.06","115.19","115.00","115.10"
"2021-12-30","114.95","115.20","114.93","115.06"
"2021-12-29","114.82","115.04","114.67","114.97"
"2021-12-28","114.88","114.95","114.71","114.82"
"2021-12-27","114.37","114.92","114.31","114.89"
"2021-12-24","114.40","114.51","114.30","114.39"
"2021-12-23","114.12","114.47","114.08","114.41"
"2021-12-22","114.11","114.38","113.96","114.12"
"2021-12-21","113.59","114.22","113.55","114.08"
"2021-12-20","113.84","113.84","113.33","113.63"
"2021-12-17","113.68","113.86","113.14","113.71"
"2021-12-16","114.04","114.25","113.56","113.70"
"2021-12-15","113.71","114.26","113.63","114.03"
"2021-12-14","113.55","113.76","113.43","113.75"
"2021-12-13","113.25","113.73","113.25","113.57"
"2021-12-10","113.49","113.80","113.23","113.38"
"2021-12-09","113.66","113.81","113.28","113.46"
"2021-12-08","113.59","113.95","113.31","113.70"
"2021-12-07","113.48","113.78","113.41","113.57"
"2021-12-06","112.75","113.55","112.75","113.49"
"2021-12-03","113.18","113.61","112.56","112.81"
"2021-12-02","112.78","113.33","112.66","113.18"
"2021-12-01","113.16","113.63","112.68","112.78"
"2021-11-30","113.53","113.89","112.53","113.16"
"2021-11-29","113.70","113.95","112.99","113.53"
"2021-11-26","115.36","115.38","113.06","113.37"
"2021-11-25","115.43","115.46","115.24","115.37"
"2021-11-24","115.13","115.50","114.83","115.42"
"2021-11-23","114.88","115.17","114.53","115.12"
"2021-11-22","114.02","114.97","113.91","114.88"
"2021-11-19","114.26","114.53","113.60","114.03"
"2021-11-18","114.03","114.48","113.88","114.26"
"2021-11-17","114.83","114.97","113.94","114.11"
"2021-11-16","114.13","114.85","114.11","114.83"
"2021-11-15","113.89","114.20","113.76","114.14"
"2021-11-12","114.06","114.30","113.77","113.91"
"2021-11-11","113.90","114.14","113.81","114.06"
"2021-11-10","112.87","114.01","112.78","113.91"
"2021-11-09","113.23","113.29","112.73","112.88"
"2021-11-08","113.42","113.67","113.08","113.23"
"2021-11-05","113.75","114.03","113.30","113.40"
"2021-11-04","114.00","114.28","113.51","113.76"
"2021-11-03","113.96","114.22","113.72","114.01"
"2021-11-02","114.00","114.14","113.47","113.95"
"2021-11-01","113.94","114.45","113.94","114.00"
"2021-10-29","113.58","114.10","113.39","114.02"
"2021-10-28","113.83","113.86","113.25","113.58"
"2021-10-27","114.15","114.22","113.40","113.81"
"2021-10-26","113.71","114.30","113.69","114.16"
"2021-10-25","113.57","113.92","113.47","113.71"
"2021-10-22","114.00","114.20","113.41","113.50"
"2021-10-21","114.30","114.42","113.65","114.00"
"2021-10-20","114.36","114.69","114.08","114.32"
"2021-10-19","114.32","114.39","113.89","114.38"
"2021-10-18","114.22","114.45","114.03","114.32"
"2021-10-15","113.68","114.46","113.64","114.26"
"2021-10-14","113.25","113.72","113.21","113.68"
